Naive Bayes,0.5,0.5,0.2593,0.6204,0.5,0.2407,0.6204
Decision Tree,0.4167,0.3571,0.2593,0.5489,0.3846,0.102,0.5489
Nearest Centroid,0.6,0.6429,0.2222,0.7103,0.6207,0.4141,0.7103
Naive Bayes,0.2222,0.3333,0.2059,0.5637,0.2667,0.109,0.5637
Decision Tree,0.5,0.5,0.0882,0.7059,0.5,0.4118,0.7059
Nearest Centroid,0.2727,0.5,0.2353,0.6324,0.3529,0.2117,0.6324
Naive Bayes,0.3333,0.4,0.1143,0.6429,0.3636,0.2646,0.6429
Decision Tree,0.2857,0.8,0.2857,0.7571,0.4211,0.3566,0.7571
Nearest Centroid,0.125,0.2,0.2,0.5,0.1538,0.0,0.5
Naive Bayes,0.1667,0.1667,0.1471,0.5098,0.1667,0.0196,0.5098
Decision Tree,0.3333,0.3333,0.1176,0.6078,0.3333,0.2157,0.6078
Nearest Centroid,0.2,0.1667,0.1176,0.5245,0.1818,0.0529,0.5245
Naive Bayes,0.6667,0.1818,0.0345,0.5737,0.2857,0.2498,0.5737
Decision Tree,0.25,0.1818,0.2069,0.4875,0.2105,-0.028,0.4875
Nearest Centroid,0.5,0.2727,0.1034,0.5846,0.3529,0.2117,0.5846
Naive Bayes Mean,0.3778,0.3164,0.1522,0.5821,0.3165,0.1767,0.5821
Decision Tree Mean,0.3571,0.4344,0.1915,0.6214,0.3699,0.2116,0.6214
Nearest Centroid Mean,0.3395,0.3565,0.1757,0.5904,0.3324,0.1781,0.5904
